Name,Month,Total
Lee University School of Music,Aug,450.0
Louisiana State University Baton Rouge,Aug,4000.0
Louisiana State University of Alexandria,Aug,562.0
Manhattanville College,Aug,875.0
Maryville College,Aug,562.0
Mercer University,Aug,5000.0
Meredith College,Aug,800.0
Middle Tennessee State University,Aug,4200.0
"Mississippi State University, College of Education",Aug,8500.0
NC New Teacher Support Program- East Carolina University,Aug,1500.0
North Carolina Central University,Aug,750.0
North Central College,Aug,2500.0
Ouachita Baptist University,Aug,2070.0
Providence College,Aug,750.0
Reinhardt University,Aug,2300.0
Rutgers University Graduate School of Education,Aug,4500.0
Saint Joseph’s University,Aug,2520.0
Salem University,Aug,2500.0
Seattle University,Aug,2500.0
Seton Hall University,Aug,4300.0
Shippensburg University,Aug,5000.0
Skidmore College,Aug,50.0
Southeast KCTCS,Aug,-1200.0
St. Bonaventure University-School of Education,Aug,5100.0
St. Louis Community College,Aug,575.0
"Temple University, Tyler School of Art and Architecture",Aug,550.0
Texas State University,Aug,50.0
The College of Wooster,Aug,1610.0
The University of Texas at Tyler,Aug,1250.0
University of Central Arkansas,Aug,1000.0
University of Hawaii at Manoa,Aug,3030.0
University of Lynchburg,Aug,237.5
University of Montevallo,Aug,1500.0
University of New Mexico,Aug,2000.0
University of New Orleans,Aug,3000.0
University of North Alabama,Aug,1750.0
University of North Carolina at Greensboro,Aug,3500.0
University of North Dakota,Aug,1280.0
"University of South Carolina, Beaufort",Aug,750.0
University of West Georgia,Aug,3500.0
University of Wisconsin-Madison,Aug,1680.0
Utica College,Aug,1750.0
Alverno College,Sep,2750.0
Anderson University,Sep,800.0
Aquinas College,Sep,875.0
Austin Peay State Universtiy,Sep,1500.0
Ball State University,Sep,3250.0
Barton College,Sep,2300.0
"BloomBoard,Inc",Sep,0.0
Bowling Green State University,Sep,1270.0
Brandeis University,Sep,2000.0
Brock University,Sep,290.0
CA State University Dominguez Hills,Sep,2125.0
California State University Northridge,Sep,1900.0
"California State University, Chico",Sep,500.0
"California State University, Stanislaus",Sep,4310.0
Calvert County Public Schools,Sep,1840.0
Charleston Southern University,Sep,3600.0
Clarion University of Pennsylvania,Sep,4500.0
College for Creative Studies,Sep,1900.0
Colorado State University Pueblo,Sep,4500.0
Concordia University Chicago,Sep,1000.0
Crowder College,Sep,2500.0
CSU San Bernardino,Sep,5000.0
East Tennessee State University,Sep,1710.0
Eastern Michigan University,Sep,1710.0
Gettysburg College,Sep,2000.0
Hobart and William Smith Colleges,Sep,525.0
Houghton College,Sep,2500.0
Humboldt State University,Sep,500.0
Ithaca College,Sep,875.0
John Carroll University,Sep,1500.0
Lebanon Valley College,Sep,3700.0
Lehigh Carbon Community College,Sep,2250.0
Lewis University,Sep,3000.0
Medaille College,Sep,3000.0
Metro RESA,Sep,8000.0
Minnesota State University Moorhead,Sep,3000.0
Mississippi State University-Meridian,Sep,1000.0
Modesto Junior College,Sep,1500.0
Morehead State University,Sep,1000.0
Morgan State University,Sep,2250.0
Murray State University,Sep,5750.0
National Louis University,Sep,15800.0
North Carolina Central University,Sep,375.0
North Carolina State University,Sep,4500.0
Northern Virginia Community College,Sep,3500.0
Oregon State University,Sep,3000.0
"Pathway to Practice,NCSU",Sep,2000.0
Ramapo College,Sep,400.0
Rhodes College,Sep,2100.0
Rochester Institute of Technology,Sep,800.0
Roosevelt University,Sep,1500.0
Saint Catherine University,Sep,391.0
Saint Joseph’s College of Maine,Sep,2250.0
Saint Joseph’s University,Sep,500.0
Salve Regina University,Sep,200.0
Siena College,Sep,1250.0
Southeast Missouri State University,Sep,1825.0
Springfield College,Sep,625.0
"Teachers College, Columbia University",Sep,5000.0
Texas State University,Sep,4100.0
"The Citadel, Zucker Family School of Education",Sep,750.0
The University of Texas at Tyler,Sep,355.0
Thiel College,Sep,500.0
Thomas College,Sep,625.0
University of California Berkeley,Sep,875.0
"University of California, Davis",Sep,875.0
University of Central Oklahoma,Sep,700.0
University of Georgia,Sep,4500.0
University of Illinois at Urbana-Champaign,Sep,2480.0
University of Jamestown,Sep,-425.0
"University of Kentucky, IHE Special Education Consortium",Sep,500.0
University of Louisiana at Lafayette,Sep,875.0
University of Maryland,Sep,130.0
University of Maryland Baltimore County,Sep,2500.0
University of Maryland College of Education,Sep,3500.0
University of Minnesota Duluth,Sep,5090.0
University of Montevallo,Sep,750.0
University of North Alabama,Sep,250.0
University of North Carolina Wilmington,Sep,7500.0
University of North Florida,Sep,1400.0
University of Rhode Island (School of Education),Sep,4250.0
University of San Francisco,Sep,100.0
University of the Arts,Sep,555.0
University of the Pacific,Sep,2750.0
University of Wisconsin-Eau Claire,Sep,4650.0
University of Wisconsin-River Falls,Sep,462.0
"University of Wyoming, College of Education",Sep,1450.0
Washington State University,Sep,2500.0
Western Illinois University,Sep,1000.0
Westfield State University,Sep,5500.0
Wheaton College,Sep,512.5
Williams Baptist University,Sep,587.0
Wingate University,Sep,625.0
Winthrop University,Sep,937.5
Yakima Valley College,Sep,1030.0
Alderson Broaddus University,Oct,500.0
Bellarmine University,Oct,-400.0
"BloomBoard,Inc",Oct,15520.0
Brown University,Oct,425.0
Butte College,Oct,0.0
"California State University, Stanislaus",Oct,190.0
Capital University,Oct,1640.0
City University of New York,Oct,495.0
Crowley’s Ridge College,Oct,395.0
Department of the Interior,Oct,21000.0
Hudson Valley Community College,Oct,400.0
Indiana Universities Libraries,Oct,6500.0
Miami University,Oct,1250.0
Middlesex County College,Oct,200.0
Minnesota State University Moorhead,Oct,100.0
Mississippi State University-Meridian,Oct,100.0
Niagara University,Oct,4210.0
Northern Illinois University,Oct,8880.0
Northern Virginia Community College,Oct,-1750.0
Pierce College,Oct,750.0
Prince George’s Community College,Oct,500.0
Purdue University Fort Wayne,Oct,5000.0
Ripon College,Oct,1900.0
Salisbury University,Oct,3250.0
San Jose State University,Oct,200.0
Southern Illinois University Edwardsville,Oct,4700.0
State University of New York (SUNY),Oct,16052.0
University of Arkansas,Oct,3250.0
University of Louisville,Oct,4500.0
University of Maryland College of Education,Oct,500.0
University of Michigan-Dearborn,Oct,450.0
University of Montevallo,Oct,0.0
University of North Florida,Oct,200.0
University of North Texas,Oct,3000.0
University of Rochester-Warner School of Education,Oct,1600.0
University of Southern Mississippi,Oct,1200.0
University of Wisconsin Stevens Point,Oct,4500.0
University of Wisconsin-River Falls,Oct,2500.0
Valdosta State University,Oct,1625.0
Western Washington University,Oct,700.0
Winston-Salem State University,Oct,562.0
Winthrop University,Oct,1000.0
